FP5now FP_length5 FP3now FP_length3 control_Reads control_length
1 42 0 0 148 630
1 120 0 0 1441 636
1 117 0 0 332 924
1 150 0 0 815 840
1 39 0 0 282 858
1 66 0 0 123 528
1 138 0 0 1852 864
1 66 0 0 267 1410
1 54 0 0 82 1257
1 84 0 0 784 1563
1 93 0 0 29 291
1 180 0 0 104 477
1 66 0 0 3411 1674
1 120 0 0 173 1386
1 135 0 0 264 594
1 204 0 0 657 1839
1 171 0 0 22 348
1 738 0 0 587 1569
1 39 0 0 12918 2130
1 144 0 0 214 1248
1 54 0 0 186 2496
1 48 0 0 1372 1674
1 102 0 0 62 906
1 69 0 0 214 690
1 144 0 0 82 801
1 78 0 0 278 1263
1 48 0 0 1369 1014
1 66 0 0 755 1851
1 228 0 0 267 702
1 87 0 0 253 1239
1 69 0 0 263 882
1 105 0 0 229 735
1 117 0 0 53 1155
1 45 0 0 292 1140
1 48 0 0 2004 1014
1 246 0 0 188 405
1 42 0 0 561 1656
1 120 0 0 7966 1938
